code,name,manufacturer,tier,group,slug
1079,"Матар","Дефенда",original,"Гербіцид",matar-defenda
1080,"Муссон","Дефенда",original,"Гербіцид",musson-defenda
1081,"Напалм","Дефенда",original,"Гербіцид",napalm-defenda
1082,"Напалм Супер","Дефенда",original,"Гербіцид",napalm-super-defenda
1083,"Напалм Форте","Дефенда",original,"Гербіцид",napalm-forte-defenda
1084,"Перун","Дефенда",original,"Гербіцид",perun-defenda
1085,"Піраміда","Дефенда",original,"Гербіцид",piramida-defenda
1086,"Примус","Дефенда",original,"Гербіцид",prymus-defenda
1087,"Рим","Дефенда",original,"Гербіцид",rym-defenda
1088,"Сахара","Дефенда",original,"Гербіцид",sakhara-defenda
1089,"Сора-Нет","Дефенда",original,"Гербіцид",sora-net-defenda
1090,"Старлент","Дефенда",original,"Гербіцид",starlent-defenda
1091,"Сумаро","Дефенда",original,"Гербіцид",sumaro-defenda
1092,"Форит","Дефенда",original,"Гербіцид",foryt-defenda
1093,"Харума","Дефенда",original,"Гербіцид",kharuma-defenda
1094,"Шериф","Дефенда",original,"Гербіцид",sheryf-defenda
1095,"Шериф Максі","Дефенда",original,"Гербіцид",sheryf-maksi-defenda
1096,"Айказ","Кортева",original,"Гербіцид",aikaz-korteva
1097,"Белкар","Кортева",original,"Гербіцид",belkar-korteva
1098,"Белкар Флекс, КЕ","Кортева",original,"Гербіцид",belkar-fleks-ke-korteva
1099,"Блу-Н","Кортева",original,"Гербіцид",blu-n-korteva
1100,"Геліантекс","Кортева",original,"Гербіцид",helianteks-korteva
1101,"Геліантекс + Аканто Плюс","Кортева",original,"Гербіцид",helianteks-akanto-plyus-korteva
1102,"Геліантекс Про","Кортева",original,"Гербіцид",helianteks-pro-korteva
1103,"Квелекс 200вг","Кортева",original,"Гербіцид",kveleks-200vh-korteva
1104,"Кордус Флекс","Кортева",original,"Гербіцид",kordus-fleks-korteva
1105,"Лонтрел 300 в.р.","Кортева",original,"Гербіцид",lontrel-300-v-r-korteva
1106,"Лортама","Кортева",original,"Гербіцид",lortama-korteva
1107,"Н-Лок Макс","Кортева",original,"Гербіцид",n-lok-maks-korteva
1108,"Паллас  Екстра 317 ВГ","Кортева",original,"Гербіцид",pallas-ekstra-317-vh-korteva
