Код,Дія,Лист,Виробник,Назва (прайс),Фасовка,Діюча речовина,Норма,Категорія slug,Категорія UA,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Slug (наш),Назва (наша),Фасовка (наша),Tier,№ рядка
1479,new-sku,"АХТ","АХТ","Ділар","2 кг","Клопіралід, 750 г/кг","0,12-0,2",herbitsydy,"Гербіцид",59.83,49.86,54.85,USD,"","","",,10
1480,new-sku,"АХТ","АХТ","Етасил","0.25 кг","етаметсульфурон- метил, 750 г/кг","0.025",herbitsydy,"Гербіцид",230.1,191.75,210.93,USD,"","","",,11
1481,new-sku,"АХТ","АХТ","Імпекс Дуо","10 л","імазамокс, 33 г/л + імазапір, 15 г/л","1,0-1,2",herbitsydy,"Гербіцид",16.73,13.94,15.33,USD,"","","",,12
1482,new-sku,"АХТ","АХТ","Клеріо","10 л","Клетодим, 360 г/л","",herbitsydy,"Гербіцид",24.28,20.23,22.25,USD,"","","",,13
1483,new-sku,"АХТ","АХТ","Клодекс Про","5 л","Кломазон, 480 г/л","0,15-0,7",herbitsydy,"Гербіцид",10.54,8.78,9.66,USD,"","","",,14
1484,new-sku,"АХТ","АХТ","Метризан","банка 0,5кг","Метрибузин, 700 г/кг","0,2-1,1",herbitsydy,"Гербіцид",28.7,23.92,26.31,USD,"","","",,15
1485,new-sku,"АХТ","АХТ","Мілафорт","10 л","Нікосульфурон , 40 г/л","1,0-1,25",herbitsydy,"Гербіцид",6.24,5.2,5.72,USD,"","","",,16
1486,new-sku,"АХТ","АХТ","Мілафорт Екстра","10 л","мезотріон, 75 г/л + нікосульфурон, 30 г/л","1,0-1,25",herbitsydy,"Гербіцид",12.22,10.18,11.2,USD,"","","",,17
1487,new-sku,"АХТ","АХТ","Мілафорт Про","5 л","нікосульфурон, 100 г/л","",herbitsydy,"Гербіцид",15.6,13,14.3,USD,"","","",,18
1488,new-sku,"АХТ","АХТ","Ореол Максі","10 л","Хізалофоп-п-етил, 125 г/л","0,5-1,2",herbitsydy,"Гербіцид",8.74,7.28,8.01,USD,"","","",,19
1489,new-sku,"АХТ","АХТ","Основа","20 л","Ацетохлор, 900 г/л","1,5-3,0",herbitsydy,"Гербіцид",5.66,4.72,5.19,USD,"","","",,20
1490,new-sku,"АХТ","АХТ","Промекс","20 л","Прометрин, 500 г/л","1,5-4,0",herbitsydy,"Гербіцид",5.18,4.32,4.75,USD,"","","",,21
1491,new-sku,"АХТ","АХТ","Пропазокс","20 л","Пропізохлор 720 г/л","2,0-3,0",herbitsydy,"Гербіцид",5.12,4.27,4.7,USD,"","","",,22
1492,new-sku,"АХТ","АХТ","Сульфоніл","банка 0,5кг","Нікосульфурон, 750 г/кг","0,05-0,07",herbitsydy,"Гербіцид",78.13,65.11,71.62,USD,"","","",,23
1493,new-sku,"АХТ","АХТ","Танаїс","банка 0,5кг","Римсульфурон 250 г/кг","0,04-0,05",herbitsydy,"Гербіцид",94.24,78.53,86.38,USD,"","","",,24
1494,new-sku,"АХТ","АХТ","Толазин Ультра","20 л","S-метолахлор 468 г/л; тербутилазин - 281 г/л","2,0-3,0",herbitsydy,"Гербіцид",8.21,6.84,7.52,USD,"","","",,25
1495,new-sku,"АХТ","АХТ","Трайден","банка 0,5кг","трибенурон-метил, 428 г/кг+ флорасулам, 160г/кг+ флуметсулам, 137г/кг","",herbitsydy,"Гербіцид",132.07,110.06,121.07,USD,"","","",,26
1496,new-sku,"АХТ","АХТ","Унісулам","банка 0,5кг","флорасулам 100 г/л","0,05-0,075",herbitsydy,"Гербіцид",34.55,28.79,31.67,USD,"","","",,27
1497,new-sku,"АХТ","АХТ","Агропав","5 л","Гетерополімерні ПАР","100мл/100л води",herbitsydy,"Гербіцид",3.05,2.54,2.79,USD,"","","",,54
1498,new-sku,"АХТ","АХТ","Агропав Екстра","5 л","Органосиліконові ПАР","25-100мл/100л води",herbitsydy,"Гербіцид",10.07,8.39,9.23,USD,"","","",,55
1499,new-sku,"АХТ","АХТ","Акваглайд","5 л","Спеціальна формуляція органічних кислот","0,05-0,15л/100л води",herbitsydy,"Гербіцид",4.69,3.91,4.3,USD,"","","",,56
1500,new-sku,"АХТ","АХТ","Протипен","0.2 л","ПАР на основі полідиметилсилоксану","10мл/250л або 40мл на 1000л води",herbitsydy,"Гербіцид",22.85,19.04,20.94,USD,"","","",,57
1501,new-sku,"АХТ","АХТ","Інгібітор уреази N-STAB","5 л","NBPT 267г/л (n-бутилтіофосфортриамід)","1,2-1,4л/1000л(КАС); 2,5-3,0/карбаміт",herbitsydy,"Гербіцид",27.8,23.17,25.49,USD,"","","",,62
1502,new-sku,"АХТ","АХТ","Трінекс","5 л","трінексапак-етил, 250 г/л","0,4-0,8",herbitsydy,"Гербіцид",27.36,22.8,25.08,USD,"","","",,64
1503,new-packaging,"Укравіт","Укравіт","Агростар, РК","10 л","МЦПА у формі амінної солі, 500 г/л","",herbitsydy,"Гербіцид",9.32,7.76,8.54,USD,"ahrostar-rk-ukravit","Агростар, РК","20 л",premium,6
1504,new-sku,"Укравіт","Укравіт","Антисапа, ВГ","5 л","Метрибузин, 700 г/л","",herbitsydy,"Гербіцид",29.9,24.92,27.41,USD,"","","",,7
1505,new-sku,"Укравіт","Укравіт","Антисапа Ліквід, ВГ","20 л","Метрибузин, 600 г/л","",herbitsydy,"Гербіцид",25.3,21.08,23.19,USD,"","","",,8
1506,new-packaging,"Укравіт","Укравіт","Віталон Експерт, КЕ","10 л","Десмедифам, 71 г/л + фенмедифам, 91 г/л + етофумезат, 112 г/л","",herbitsydy,"Гербіцид",16.9,14.09,15.5,USD,"vitalon-ekspert-ke-ukravit","Віталон Експерт, КЕ","5 л",premium,13
1507,new-packaging,"Укравіт","Укравіт","Генезис, РК","5 л","Імазомокс, 33г/л+Імазапір 15г/л","",herbitsydy,"Гербіцид",11.85,9.87,10.86,USD,"henezys-rk-ukravit","Генезис, РК","10, 20",premium,14
1508,new-packaging,"Укравіт","Укравіт","Генезис, РК","10.20 л","Імазомокс, 33г/л+Імазапір 15г/л","",herbitsydy,"Гербіцид",11.5,9.58,10.54,USD,"henezys-rk-ukravit","Генезис, РК","10, 20",premium,15
1509,new-packaging,"Укравіт","Укравіт","Гліфовіт, РК","20 л","Ізопропіламінна сіль гліфосату, 480 г/л","",herbitsydy,"Гербіцид",4.49,3.74,4.11,USD,"hlifovit-rk-ukravit","Гліфовіт, РК","1000(куб)",premium,17
1510,new-packaging,"Укравіт","Укравіт","Гліфовіт, РК","0.5 л","Ізопропіламінна сіль гліфосату, 480 г/л","",herbitsydy,"Гербіцид",34.5,28.75,31.63,USD,"hlifovit-rk-ukravit","Гліфовіт, РК","1000(куб)",premium,19
1511,new-sku,"Укравіт","Укравіт","Гліфовіт Екстра, РК","20 л","Гліфосат, 540 г/л, у формі калійної солі, 663 г/л","",herbitsydy,"Гербіцид",6.56,5.46,6.01,USD,"","","",,20
1512,new-sku,"Укравіт","Укравіт","Гліфовіт Екстра, РК","10 л","Гліфосат, 540 г/л, у формі калійної солі, 663 г/л","",herbitsydy,"Гербіцид",6.56,5.46,6.01,USD,"","","",,21
1513,new-sku,"Укравіт","Укравіт","Голд Стар Екстра, ВГ","0.07 л","Трибенурон-метил, 563 г/кг + тифенсульфурон-метил, 187 г/кг","",herbitsydy,"Гербіцид",51.75,43.13,47.44,USD,"","","",,23
1514,new-packaging,"Укравіт","Укравіт","Імі-Віт,РК","5 л","Імазамокс, 40 г/л","",herbitsydy,"Гербіцид",11.27,9.39,10.33,USD,"imi-vit-rk-ukravit","Імі-Віт,РК","20 л",premium,27
1515,new-packaging,"Укравіт","Укравіт","Кельт, КЕ","10.20 л","Флуазифоп-п-бутил, 150 г/л","",herbitsydy,"Гербіцид",14.95,12.46,13.71,USD,"kelt-ke-ukravit","Кельт, КЕ","10, 20",premium,30
1516,new-packaging,"Укравіт","Укравіт","Квін Стар Макс, КЕ","5 л","Хізалофоп-П-етил, 125 г/л","",herbitsydy,"Гербіцид",10.35,8.63,9.49,USD,"kvin-star-maks-ke-ukravit","Квін Стар Макс, КЕ","20 л",premium,32
1517,new-packaging,"Укравіт","Укравіт","Міладар, КС","5 л","Нікосульфурон, 45 г/л","",herbitsydy,"Гербіцид",7.48,6.23,6.85,USD,"miladar-ks-ukravit","Міладар, КС","20 л",premium,38
1518,new-packaging,"Укравіт","Укравіт","Міладар Дуо, КС","5 л","Мезотріон, 100 г/л + нікосульфурон, 45 г/л","",herbitsydy,"Гербіцид",18.17,15.14,16.65,USD,"miladar-duo-ks-ukravit","Міладар Дуо, КС","20 л",premium,40
1519,new-sku,"Укравіт","Укравіт","Енергодар, КС","1 л","Пропамокарб гідрохлорид, 530г/л + фосетил алюмінію, 310г/л","",herbitsydy,"Гербіцид",34.5,28.75,31.63,USD,"","","",,90
1520,new-sku,"Укравіт","Укравіт","Інферно,ВГ","25 кг","Сірка, 800 г/кг","",herbitsydy,"Гербіцид",3.45,2.88,3.17,USD,"","","",,95
1521,new-sku,"Укравіт","Укравіт","Феномен Прайм, ВГ","1 л","Каптан, 780 г/кг","",herbitsydy,"Гербіцид",16.1,13.42,14.76,USD,"","","",,114
1522,new-sku,"Укравіт","Укравіт","АС-Селектив, ТН","5 л","Тіаметоксам, 100г/л + флудиоксоніл, 20г/л + ацетамиприд, 100г/л","",herbitsydy,"Гербіцид",18.4,15.33,16.86,USD,"","","",,119
1523,new-sku,"Укравіт","Укравіт","Селфос, ТБ","1 л","Фосфід алюмінію, 560 г/кг","",herbitsydy,"Гербіцид",16.1,13.42,14.76,USD,"","","",,133
1524,new-sku,"Грін Експрес","Грін Експрес","Байндстрайк","10 л","флуроксипір 330 г/л","0,5-0,6 л/га",herbitsydy,"Гербіцид",22.54,18.78,20.66,USD,"","","",,7
1525,new-sku,"Грін Експрес","Грін Експрес","Бентагран","20 л","бентазон 480 г/л","1,5-3,0 л/га",herbitsydy,"Гербіцид",11.52,9.6,10.56,USD,"","","",,9
1526,new-sku,"Грін Експрес","Грін Експрес","Гамма Тотал","5 л","хізалофоп-п-етил 50 г/л","1,0-3,0 л/га",herbitsydy,"Гербіцид",8.38,6.98,7.68,USD,"","","",,11
1527,new-sku,"Грін Експрес","Грін Експрес","Гармонік","250 г","тифенсульфурон-метил 750 г/кг","6-15 г/га",herbitsydy,"Гербіцид",64.01,53.34,58.67,USD,"","","",,12
1528,new-sku,"Грін Експрес","Грін Експрес","Грамідін","5 л","клетодим 240 г/л","0,2-0,4 л/га",herbitsydy,"Гербіцид",17.04,14.2,15.62,USD,"","","",,13
1529,new-sku,"Грін Експрес","Грін Експрес","Гранд","500 г","трибенурон-метил 750 г/л","15-25 г/га",herbitsydy,"Гербіцид",40.16,33.47,36.82,USD,"","","",,14
1530,new-sku,"Грін Експрес","Грін Експрес","Гром Некст","20 л","калійна сіль гліфосату 660 г/л","2,0-4,0 л/га",herbitsydy,"Гербіцид",6.44,5.36,5.9,USD,"","","",,15
1531,new-sku,"Грін Експрес","Грін Експрес","Гром Тотал","20 л","ізопропіламінова сіль гліфосату 480 г/л","2,0-6,0 л/га",herbitsydy,"Гербіцид",5.59,4.66,5.13,USD,"","","",,16
1532,new-sku,"Грін Експрес","Грін Експрес","Дібензон","5 л","дифлубензурон 220г/л","",herbitsydy,"Гербіцид",12.57,10.48,11.53,USD,"","","",,17
1533,new-sku,"Грін Експрес","Грін Експрес","Д-Камба","10 л","дикамба 480 г/л","0,15-0,3 л/га; 0,4-0,8 л/га.",herbitsydy,"Гербіцид",13.42,11.18,12.3,USD,"","","",,18
1534,new-sku,"Грін Експрес","Грін Експрес","Драгун","10 л","хлорпирифос 480 г/л","0,5-2,5 л/га",herbitsydy,"Гербіцид",11.07,9.23,10.15,USD,"","","",,19
1535,new-sku,"Грін Експрес","Грін Експрес","Дуо Кватро Д","10 л","2,4 - Д, 2-етилгексиловий ефір, 875 г/л","0,5-2,5 л/га",herbitsydy,"Гербіцид",8.7,7.25,7.98,USD,"","","",,20
1536,new-sku,"Грін Експрес","Грін Експрес","Екран Екстра","20 л","ацетохлор 800 г/л антидот 80","2,0-3,5 л/га",herbitsydy,"Гербіцид",10.66,8.88,9.77,USD,"","","",,21
1537,new-sku,"Грін Експрес","Грін Експрес","Екран Є-формула","20 л","с-метолахлор 945 г/л + беноксакор 15 г/л","1,0-2,0 л/га",herbitsydy,"Гербіцид",14.14,11.78,12.96,USD,"","","",,22
1538,new-sku,"Грін Експрес","Грін Експрес","Екран Тотал","20 л","ацетохлор 900 г/л","1,5-3,0 л/га",herbitsydy,"Гербіцид",6.98,5.82,6.4,USD,"","","",,23
1539,new-sku,"Грін Експрес","Грін Експрес","Екстразін","20 л","тербутилазін 500 г/л","1,5-2,5 л/га",herbitsydy,"Гербіцид",6.84,5.7,6.27,USD,"","","",,24
1540,new-sku,"Грін Експрес","Грін Експрес","Ескорт Біо","20 л","ПАР","0,5-1,0 л/100л р.з",herbitsydy,"Гербіцид",6.64,5.53,6.08,USD,"","","",,25
1541,new-sku,"Грін Експрес","Грін Експрес","Ескорт Комплект","10 л","ПАВ","0,1-1,0 л/100л р.з",herbitsydy,"Гербіцид",6,5,5.5,USD,"","","",,26
1542,new-sku,"Грін Експрес","Грін Експрес","Ескорт Оіл","20 л","ПАР","0,4 л/100л р.з",herbitsydy,"Гербіцид",7.33,6.11,6.72,USD,"","","",,27
1543,new-sku,"Грін Експрес","Грін Експрес","Ескорт Турбо","5 л","ПАР","0,02-0,025 л/100л р.з.",herbitsydy,"Гербіцид",19.8,16.5,18.15,USD,"","","",,28
1544,new-sku,"Грін Експрес","Грін Експрес","Ескорт","10 л","ПАР","0,1 л/100л р.з.",herbitsydy,"Гербіцид",5.95,4.96,5.46,USD,"","","",,29
1545,new-sku,"Грін Експрес","Грін Експрес","Зугамін","5 л","Касугаміцин 60 г/л","0,3-1,5 л/га",herbitsydy,"Гербіцид",21.66,18.05,19.86,USD,"","","",,30
1546,new-sku,"Грін Експрес","Грін Експрес","Ірокез","20 л","Імазомокс 40 г/л","0,75-1,2 л/га",herbitsydy,"Гербіцид",13.8,11.5,12.65,USD,"","","",,31
1547,new-sku,"Грін Експрес","Грін Експрес","Калігула","5 л","фенпироксимат 280 г/л","0,125-0,2 л/га",herbitsydy,"Гербіцид",37.02,30.85,33.94,USD,"","","",,32
1548,new-sku,"Грін Експрес","Грін Експрес","Калмер","1 л","силіконовий піногасник","10-30 мл/100л р.з",herbitsydy,"Гербіцид",20.26,16.88,18.57,USD,"","","",,33
1549,new-sku,"Грін Експрес","Грін Експрес","Кропекс","10 л","кломазон 480 г/л","0,15-0,2 л/га",herbitsydy,"Гербіцид",13.8,11.5,12.65,USD,"","","",,38
1550,new-sku,"Грін Експрес","Грін Експрес","Мезогрін","5 л","мезотріон 480 г/л","0,15-0,25 л/га",herbitsydy,"Гербіцид",24.28,20.23,22.25,USD,"","","",,39
1551,new-sku,"Грін Експрес","Грін Експрес","Метагрін","5 л","2М-4Х (МЦПА) ізооктиловий ефір 850 г/л","0,15-0,25 л/га",herbitsydy,"Гербіцид",11.52,9.6,10.56,USD,"","","",,40
1552,new-sku,"Грін Експрес","Грін Експрес","Металакс","5 л","металаксил-м 350 г/л","2,0-3,0 л/га",herbitsydy,"Гербіцид",22.71,18.92,20.81,USD,"","","",,41
1553,new-sku,"Грін Експрес","Грін Експрес","Метрікс","1 кг","метрибузин 700 г/кг","0,5-1,5 кг/га",herbitsydy,"Гербіцид",28.47,23.72,26.09,USD,"","","",,42
1554,new-sku,"Грін Експрес","Грін Експрес","Ніка Плюс","500 г","нікосульфурон 500г/кг + римсульфурон250 г/кг","40-50 г/га",herbitsydy,"Гербіцид",174.64,145.54,160.09,USD,"","","",,43
1555,new-sku,"Грін Експрес","Грін Експрес","Ніка","500 г","нікосульфурон 750 г/кг","50-70 г/га",herbitsydy,"Гербіцид",104.79,87.32,96.05,USD,"","","",,44
1556,new-sku,"Грін Експрес","Грін Експрес","Оксі","5 л","оксифлуорфен 240 г/л","0,2-1,0 л/га",herbitsydy,"Гербіцид",19.21,16.01,17.61,USD,"","","",,45
1557,new-sku,"Грін Експрес","Грін Експрес","Онікс","10 л","2.4 D 344 г/л +Dicamba 120 г/л","0,5-1,25 л/га",herbitsydy,"Гербіцид",8.55,7.13,7.84,USD,"","","",,46
1558,new-sku,"Грін Експрес","Грін Експрес","Орнамент","20 л","флюдиоксоніл 25 г/л","1,0 л/т",herbitsydy,"Гербіцид",13.28,11.06,12.17,USD,"","","",,47
1559,new-sku,"Грін Експрес","Грін Експрес","Пантеон","500 г","римсульфурон 500 г/кг","0,015-0,025 кг/га",herbitsydy,"Гербіцид",143.21,119.34,131.27,USD,"","","",,48
1560,new-sku,"Грін Експрес","Грін Експрес","Пікет","10 л","імазетапір 100 г/д","0,5-1,0 л/га",herbitsydy,"Гербіцид",10.31,8.59,9.45,USD,"","","",,49
1561,new-sku,"Грін Експрес","Грін Експрес","Сойгард Голд","20 л","ацифлуорфен 214 г/л","1,0-2,0 л/га",herbitsydy,"Гербіцид",15.71,13.09,14.4,USD,"","","",,53
1562,new-sku,"Грін Експрес","Грін Експрес","Сойгард","500 г","Хлоримурон метил  750 г/кг","0,012-0,014 кг/га",herbitsydy,"Гербіцид",85.56,71.3,78.43,USD,"","","",,54
1563,new-sku,"Грін Експрес","Грін Експрес","Стедіс","5 л","протіоконазол 480 г/л","0,3-0,6 л/га",herbitsydy,"Гербіцид",41.92,34.93,38.42,USD,"","","",,57
1564,new-sku,"Грін Експрес","Грін Експрес","Стратег","20 л","прометрин 500 г/л","2,0-4,0 л/га",herbitsydy,"Гербіцид",6.9,5.75,6.33,USD,"","","",,58
1565,new-sku,"Грін Експрес","Грін Експрес","Суховій Пауер","20 л","глюфосинат амонію 200г/л","1,3-2,0 л/га",herbitsydy,"Гербіцид",6.28,5.23,5.75,USD,"","","",,60
1566,new-sku,"Грін Експрес","Грін Експрес","Террамін","1 л","пендиметалін 500 г/л","0,1-0,2 л/га",herbitsydy,"Гербіцид",11.17,9.31,10.24,USD,"","","",,61
1567,new-sku,"Грін Експрес","Грін Експрес","Трініті","500 г","трифлоксістробін 500 г/кг","0,12-0,15 кг/га",herbitsydy,"Гербіцид",71.6,59.66,65.63,USD,"","","",,63
1568,new-sku,"Грін Експрес","Грін Експрес","Фертайл","25 кг","залізо 10,5%","",herbitsydy,"Гербіцид",11.17,9.31,10.24,USD,"","","",,64
1569,new-sku,"Грін Експрес","Грін Експрес","Флейм Плюс","5 л","флорасулам 50 г/л","0,075-0,150 л/га",herbitsydy,"Гербіцид",19.04,15.86,17.45,USD,"","","",,65
1570,new-sku,"Грін Експрес","Грін Експрес","Флейм","500 г","флуметсулам 800 г/л","0,018-0,026 кг/га",herbitsydy,"Гербіцид",179.87,149.89,164.88,USD,"","","",,66
1571,new-sku,"Грін Експрес","Грін Експрес","Флузіон","500 г","флуміоксазін, 510 г/л","0,08-0,12 кг/га",herbitsydy,"Гербіцид",71.6,59.66,65.63,USD,"","","",,67
1572,new-sku,"Грін Експрес","Грін Експрес","Флуорит","5 л","Флутріафол, 400г/л","",herbitsydy,"Гербіцид",17.57,14.64,16.1,USD,"","","",,68
2098,existing,"Нертус","Нертус","Антал, ТН","5 л","тіабендазол, 80 г/л; імазаліл, 125 г/л; тебуконазол, 60 г/л","",funhitsydy,"Фунгіцид",32.03,26.69,29.36,USD,"antal-tn-nertus","Антал, ТН","5 л",econom,90
2099,existing,"Нертус","Нертус","Беркут Форте, КЕ","5 л","тебуконазол, 600 г/л","",funhitsydy,"Фунгіцид",15.79,13.16,14.48,USD,"berkut-forte-ke-nertus","Беркут Форте, КЕ","5 л",econom,48
2100,existing,"Нертус","Нертус","Беркут, КЕ","5 л","тебуконазол, 250 г/л","",funhitsydy,"Фунгіцид",14.28,11.9,13.09,USD,"berkut-ke-nertus","Беркут, КЕ","5 л",econom,47
2101,existing,"Нертус","Нертус","Брандер, КС","5 л","азоксістробін, 200 г/л; тебуконазол, 160 г/л","",funhitsydy,"Фунгіцид",22.11,18.43,20.27,USD,"brander-ks-nertus","Брандер, КС","5 л",econom,49
2102,existing,"Нертус","Нертус","Віртуоз, КЕ","5 л","пропіконазол, 250 г/л; ципроконазол, 80 г/л","",funhitsydy,"Фунгіцид",12.57,10.48,11.53,USD,"virtuoz-ke-nertus","Віртуоз, КЕ","5 л",econom,50
2103,existing,"Нертус","Нертус","Кіпер, КС","5 л","тебуконазол, 162,5 г/л; тіабендазол 250 г/л","",funhitsydy,"Фунгіцид",17.4,14.5,15.95,USD,"kiper-ks-nertus","Кіпер, КС","5 л",econom,53
2104,existing,"Нертус","Нертус","Рінкоцеб, з.п.","пакет 1 кг, 5 кг","металаксил, 80 г/кг; манкоцеб, 640 г/кг","",funhitsydy,"Фунгіцид",11.15,9.29,10.22,USD,"rinkotseb-z-p-nertus","Рінкоцеб, з.п.","пакет 1 кг, 5 кг",econom,57
2105,existing,"Нертус","Нертус","Скоразол, к.е.","1 л","дифеноконазол, 250 г/л","",funhitsydy,"Фунгіцид",33.17,27.64,30.4,USD,"skorazol-k-e-nertus","Скоразол, к.е.","1 л",econom,58
2106,existing,"Нертус","Нертус","Таурт, ТН","5 л","дифеноконазол, 100 г/л, імазаліл, 100 г/л, азоксистробін, 40г/л","",funhitsydy,"Фунгіцид",34.05,28.37,31.21,USD,"taurt-tn-nertus","Таурт, ТН","5 л",econom,97
2107,existing,"Нертус","Нертус","Тіома, КС","5 л","тіофанат-метил, 500 г/л","",funhitsydy,"Фунгіцид",9.57,7.98,8.78,USD,"tioma-ks-nertus","Тіома, КС","5 л",econom,60
2108,existing,"Нертус","Нертус","Тумен, ТН","5 л","дифеноконазол, 167 г/л, азоксистробін, 67 г/л","",funhitsydy,"Фунгіцид",17.77,14.81,16.29,USD,"tumen-tn-nertus","Тумен, ТН","5 л",econom,101
2109,existing,"Нертус","Нертус","Фіделіс, КС","5 л","дифеноконазол, 104 г/л, тіофанат-метил, 333г/л","",funhitsydy,"Фунгіцид",14.21,11.84,13.02,USD,"fidelis-ks-nertus","Фіделіс, КС","5 л",econom,62
2110,existing,"Нертус","Нертус","Флуафол, КС","5 л","флутріафол, 250 г/л","",funhitsydy,"Фунгіцид",14.16,11.8,12.98,USD,"fluafol-ks-nertus","Флуафол, КС","5 л",econom,63
2111,existing,"Нертус","Нертус","Фонтес ЗП","5 кг","манкоцеб, 800 г/кг","",funhitsydy,"Фунгіцид",9.81,8.18,9,USD,"fontes-zp-nertus","Фонтес ЗП","5 кг",econom,65
2112,existing,"Нертус","Нертус","Шлях, КЕ NEW","5 л","протіоконазол, 80г/л + тебуконазол, 160г/л","",funhitsydy,"Фунгіцид",18.68,15.57,17.13,USD,"shlyakh-ke-new-nertus","Шлях, КЕ NEW","5 л",econom,66
2113,existing,"Нопосон","Нопосон","БЛОК","5 л","Тебуконазол, 250 г/л","0,5-1,0 л/га",funhitsydy,"Фунгіцид",5.89,4.91,5.4,USD,"blok-noposon","БЛОК","5 л",econom,25
2114,existing,"Нопосон","Нопосон","КАРБОН","5 л","Флутріафол, 250 г/л","0,5 л/га",funhitsydy,"Фунгіцид",9.67,8.06,8.87,USD,"karbon-noposon","КАРБОН","5 л",econom,26
2115,existing,"Нопосон","Нопосон","ЛІКОРІС","5 л","Ципроконазол, 80 г/л, азоксисторобін, 200 г/л","0,5-1,0 л/га",funhitsydy,"Фунгіцид",16.97,14.15,15.57,USD,"likoris-noposon","ЛІКОРІС","5 л",econom,23
2193,existing,"Укравіт","Укравіт","Акула, КЕ","5 л","Прохлораз, 300 г/л + тебуконазол, 140 г/л + ципроконазол, 50 г/л","",funhitsydy,"Фунгіцид",27.6,23,25.3,USD,"akula-ke-ukravit","Акула, КЕ","5 л",premium,77
2194,existing,"Укравіт","Укравіт","Антріал, КЕ NEW2026","5 л","Протіоконазол, 150 г/л + дифеноконазол, 150г/л","",funhitsydy,"Фунгіцид",28.75,23.96,26.36,USD,"antrial-ke-new2026-ukravit","Антріал, КЕ NEW2026","5 л",premium,76
2195,existing,"Укравіт","Укравіт","Асгард, РК Новинка","5 л","Міпікват-хлорид, 290г/л + метконазол, 42 г/л","",funhitsydy,"Фунгіцид",28.75,23.96,26.36,USD,"ashard-rk-novynka-ukravit","Асгард, РК Новинка","5 л",premium,139
2196,existing,"Укравіт","Укравіт","Аякс, КС","5 л","Тіофанат-метил, 310 г/л + епоксиконазол, 120 г/л + тебуконазол, 70 г/л","",funhitsydy,"Фунгіцид",34.5,28.75,31.63,USD,"ayaks-ks-ukravit","Аякс, КС","5 л",premium,78
2197,existing,"Укравіт","Укравіт","Вінат, КС NEW 2026","5 л","Боскалід, 500г/л","",funhitsydy,"Фунгіцид",80.5,67.08,73.79,USD,"vinat-ks-new-2026-ukravit","Вінат, КС NEW 2026","5 л",premium,79
2198,existing,"Укравіт","Укравіт","Віоліс, КС","5 л","Хлорокис міді, 350г/л","",funhitsydy,"Фунгіцид",13.8,11.5,12.65,USD,"violis-ks-ukravit","Віоліс, КС","5 л",premium,80
2199,existing,"Укравіт","Укравіт","Гарт, ЗП","2 л","Гідроксид міді, 770 г/кг","",funhitsydy,"Фунгіцид",19.55,16.29,17.92,USD,"hart-zp-ukravit","Гарт, ЗП","2 л",premium,81
2200,existing,"Укравіт","Укравіт","Дезарал Екстра, КС","20 л","Карбендазим, 250 г/л + флутриафол, 125 г/л","",funhitsydy,"Фунгіцид",11.73,9.77,10.75,USD,"dezaral-ekstra-ks-ukravit","Дезарал Екстра, КС","20 л",premium,83
2201,existing,"Укравіт","Укравіт","Дезарал, КС","5 л","Карбендазим, 500 г/л","",funhitsydy,"Фунгіцид",9.2,7.67,8.44,USD,"dezaral-ks-ukravit","Дезарал, КС","5 л",premium,82
2202,existing,"Укравіт","Укравіт","Делавіт","5 л","Дитіанон, 350 г/л","",funhitsydy,"Фунгіцид",33.58,27.98,30.78,USD,"delavit-ukravit","Делавіт","5 л",premium,86
2203,existing,"Укравіт","Укравіт","Джек Пот, КЕ","5 л","Дифеноконазол, 200 г/л + пенконазол, 100 г/л","",funhitsydy,"Фунгіцид",36.8,30.67,33.74,USD,"dzhek-pot-ke-ukravit","Джек Пот, КЕ","5 л",premium,87
2204,existing,"Укравіт","Укравіт","Захисник Екстра, КС","5 л","Тіофанат-метил, 310 г/л + флутріафол, 190 г/л","",funhitsydy,"Фунгіцид",24.15,20.13,22.14,USD,"zakhysnyk-ekstra-ks-ukravit","Захисник Екстра, КС","5 л",premium,91
2205,existing,"Укравіт","Укравіт","Захисник, КС","5 л","Тіофанат-метил, 500 г/л","",funhitsydy,"Фунгіцид",10.93,9.1,10.01,USD,"zakhysnyk-ks-ukravit","Захисник, КС","5 л",premium,89
2206,existing,"Укравіт","Укравіт","Захист, ЗП","5 л","Цимоксаніл, 250 г/кг + металаксил 100, г/кг","",funhitsydy,"Фунгіцид",25.3,21.08,23.19,USD,"zakhyst-zp-ukravit","Захист, ЗП","5 л",premium,93
2207,existing,"Укравіт","Укравіт","Інспір Голд, КЕ","5 л","Тебуконазол, 200 г/л+ протіоконазол, 100 г/кг","",funhitsydy,"Фунгіцид",29.9,24.92,27.41,USD,"inspir-hold-ke-ukravit","Інспір Голд, КЕ","5 л",premium,94
2208,existing,"Укравіт","Укравіт","Капітал, КС","10 л","Ципроконазол, 60 г/л + азоксистробін, 150 г/л + епоксиконазол, 50 г/л","",funhitsydy,"Фунгіцид",29.67,24.73,27.2,USD,"kapital-ks-ukravit","Капітал, КС","10 л",premium,97
2209,existing,"Укравіт","Укравіт","Каріоліс,ТН","5 л","Флудиоксоніл, 25 г/л + металаксил-М, 10 г/л","",funhitsydy,"Фунгіцид",27.6,23,25.3,USD,"kariolis-tn-ukravit","Каріоліс,ТН","5 л",premium,124
