Код,Дія,Назва (прайс),Виробник (прайс),Фасовка прайс,Норм. фасовка,Категорія прайс,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Назва (наша),Фасовка (наша),Tier,Категорія наша,Slug,№ рядка прайсу
1045,existing,"Баста 150 SL","Басф","4*5л","5 л","Гербiциди",20.68,17.23,18.95,USD,"Баста 150 SL","5 л",original,"Гербіцид","basta-150-sl-basf",88
1046,existing,"Бутiзан Стар","Басф","2*10л","10 л","Гербiциди",30.66,25.55,28.11,USD,"Бутізан Стар","10 л",original,"Гербіцид","butizan-star-basf",91
1047,existing,"Бутiзан 400 д.в","Басф","4*5л","5 л","Гербiциди",26.21,21.84,24.02,USD,"Бутiзан 400 д.в","5 л",original,"Гербіцид","butizan-400-d-v-basf",89
1048,existing,"Бутiзан АВАНТ, СЕ","Басф","2*10л","10 л","Гербiциди",37.66,31.38,34.52,USD,"Бутiзан АВАНТ, СЕ","10 л",original,"Гербіцид","butizan-avant-se-basf",90
1049,existing,"Ервін ПРО","Басф","4*5л","5 л","Гербiциди",16.39,13.66,15.03,USD,"Ервін ПРО","5 л",original,"Гербіцид","ervin-pro-basf",85
1050,existing,"Євро-лайтнiнг ПЛЮС, РК","Басф","2*10л","10 л","Гербiциди",19.86,16.55,18.21,USD,"Євро-лайтнiнг ПЛЮС, РК","10 л",original,"Гербіцид","yevro-laitninh-plyus-rk-basf",104
1051,existing,"Євро-лайтнiнг, РК","Басф","2*10л","10 л","Гербiциди",29.89,24.91,27.4,USD,"Євро-лайтнiнг, РК","10 л",original,"Гербіцид","yevro-laitninh-rk-basf",103
1052,existing,"Камбіо Стар","Басф","20л","20 л","Гербiциди",14.36,11.97,13.17,USD,"Камбіо Стар","20 л",original,"Гербіцид","kambio-star-basf",92
1053,existing,"Корум","Басф","4*5л","5 л","Гербiциди",27.41,22.84,25.12,USD,"Корум","5 л",original,"Гербіцид","korum-basf",93
1054,existing,"Нопасаран","Басф","2*10л","10 л","Гербiциди",30.84,25.7,28.27,USD,"Нопасаран","10 л",original,"Гербіцид","nopasaran-basf",101
